time,open,high,low,close
2023-05-08T13:36:00-03:00,4132.82,4133.24,4132.47,4133.24
2023-05-08T13:37:00-03:00,4133.67,4134.07,4133.67,4133.92
2023-05-08T13:38:00-03:00,4133.89,4134.15,4133.31,4134.12
2023-05-08T13:39:00-03:00,4134.21,4134.52,4133.93,4133.93
2023-05-08T13:40:00-03:00,4133.87,4133.92,4132.42,4132.46
2023-05-08T13:41:00-03:00,4132.44,4133.02,4132.36,4132.78
2023-05-08T13:42:00-03:00,4132.78,4132.87,4132.23,4132.24
2023-05-08T13:43:00-03:00,4132.18,4132.18,4131.27,4132.18
2023-05-08T13:44:00-03:00,4132.3,4132.47,4132.07,4132.34
2023-05-08T13:45:00-03:00,4132.38,4132.44,4131.84,4131.84
2023-05-08T13:46:00-03:00,4131.84,4131.85,4131.08,4131.11
2023-05-08T13:47:00-03:00,4131.14,4131.5,4131,4131.03
2023-05-08T13:48:00-03:00,4131.08,4131.08,4130.41,4130.67
2023-05-08T13:49:00-03:00,4130.67,4131.06,4130.31,4130.95
2023-05-08T13:50:00-03:00,4131.01,4131.38,4130.76,4131.36
2023-05-08T13:51:00-03:00,4131.49,4131.79,4131.33,4131.56
2023-05-08T13:52:00-03:00,4131.54,4131.54,4131.06,4131.25
2023-05-08T13:53:00-03:00,4131.35,4131.84,4131.19,4131.8
2023-05-08T13:54:00-03:00,4131.87,4132.83,4131.8,4132.6
2023-05-08T13:55:00-03:00,4132.61,4132.61,4131.26,4131.5
2023-05-08T13:56:00-03:00,4131.54,4132.54,4131.53,4132.43
2023-05-08T13:57:00-03:00,4132.48,4133.35,4132.43,4133.24
2023-05-08T13:58:00-03:00,4133.29,4133.47,4132.97,4133.47
2023-05-08T13:59:00-03:00,4133.44,4133.51,4132.76,4132.88
2023-05-08T14:00:00-03:00,4132.94,4133.69,4132.91,4132.91
2023-05-08T14:01:00-03:00,4133.01,4133.47,4132.84,4133.02
2023-05-08T14:02:00-03:00,4133.02,4133.02,4132.13,4132.18
2023-05-08T14:03:00-03:00,4132.24,4132.87,4132.17,4132.79
2023-05-08T14:04:00-03:00,4132.83,4132.83,4132.02,4132.32
2023-05-08T14:05:00-03:00,4132.31,4132.34,4131.79,4131.9
2023-05-08T14:06:00-03:00,4131.89,4132.36,4131.34,4132.36
2023-05-08T14:07:00-03:00,4132.33,4133.01,4132.33,4132.96
2023-05-08T14:08:00-03:00,4132.92,4133.06,4132.63,4132.99
2023-05-08T14:09:00-03:00,4133.17,4133.6,4133.06,4133.45
2023-05-08T14:10:00-03:00,4133.33,4134.3,4133.26,4134.13
2023-05-08T14:11:00-03:00,4134.16,4134.29,4133.64,4134.28
2023-05-08T14:12:00-03:00,4134.35,4134.99,4134.27,4134.95
2023-05-08T14:13:00-03:00,4134.93,4135.25,4134.87,4135.04
2023-05-08T14:14:00-03:00,4135.08,4135.08,4134.56,4134.79
2023-05-08T14:15:00-03:00,4134.8,4135.1,4134.8,4134.91
2023-05-08T14:16:00-03:00,4135,4135.17,4134.55,4135.08
2023-05-08T14:17:00-03:00,4135.11,4135.11,4134.59,4134.81
2023-05-08T14:18:00-03:00,4134.84,4135.15,4134.67,4135.03
2023-05-08T14:19:00-03:00,4135.03,4135.14,4134.8,4134.93
2023-05-08T14:20:00-03:00,4134.94,4135.32,4134.8,4135.21
2023-05-08T14:21:00-03:00,4135.19,4135.81,4134.96,4134.99
2023-05-08T14:22:00-03:00,4135.07,4135.98,4135.02,4135.91
2023-05-08T14:23:00-03:00,4136.01,4136.01,4134.75,4134.88
2023-05-08T14:24:00-03:00,4135.02,4135.02,4133.93,4134.21
2023-05-08T14:25:00-03:00,4134.26,4135.3,4134.26,4135.14
2023-05-08T14:26:00-03:00,4135.13,4135.71,4135.07,4135.08
